# AOS-SFR-2026-001 v1.1: every amendment release on a P2 notice in the pull of 16 September 2026, 1,046 releases on 868 notices. Each amendment value is as published and is never added to the value at award or to another amendment; the record does not say whether it is a new total, a change or a correction. Generated by recompute/publish_tsvs.py from recompute/figures.py's award-mode listing; not a source.
notice	value_at_award_aud	amendment_published_utc	amendment_value_aud
CN4188629	387658.40	2025-12-03T23:36:25Z	382354.40
CN4188651	371329.73	2026-08-12T01:01:56Z	862160.30
CN4188694	435160.00	2026-07-08T02:54:05Z	397320.00
CN4188694	435160.00	2026-07-08T02:54:05Z	438438.88
CN4188720	384560.00	2026-07-08T02:54:12Z	351120.00
CN4188720	384560.00	2026-07-08T02:54:12Z	735680.00
CN4188727	363374.00	2026-07-08T02:53:59Z	768851.82
CN4188728	374000.00	2026-07-08T02:53:59Z	774400.00
CN4188746	353586.64	2026-07-08T02:54:01Z	745514.00
CN4188747	374000.00	2026-07-08T02:54:03Z	774400.00
CN4188775	1688943.30	2026-01-21T03:20:49Z	2196043.30
CN4188775	1688943.30	2026-01-21T03:20:49Z	2636703.30
CN4188787	300960.00	2026-09-07T06:25:49Z	663428.30
CN4188887	355740.00	2026-03-23T04:24:14Z	711480.00
CN4188950	1475250.00	2025-11-11T23:59:29Z	988421.25
CN4188950	1475250.00	2025-11-11T23:59:29Z	1475250.00
CN4189018	533412.00	2026-04-13T05:14:27Z	533412.00
CN4189018	533412.00	2026-04-13T05:14:27Z	533412.00
CN4189018	533412.00	2026-04-13T05:14:27Z	566852.00
CN4189048	404624.00	2026-05-29T01:01:13Z	937024.00
CN4189104	7000000.00	2025-09-22T01:56:10Z	7174510.65
CN4189104	7000000.00	2025-09-22T01:56:10Z	7500000.00
CN4189104	7000000.00	2025-09-22T01:56:10Z	7689617.67
CN4189104	7000000.00	2025-09-22T01:56:10Z	8085838.65
CN4189249	2992000.00	2026-07-08T03:03:53Z	3043535.00
CN4189281	296868.00	2026-05-01T03:54:21Z	318304.00
CN4189281	296868.00	2026-05-01T03:54:21Z	364477.60
CN4189298	267585.21	2026-07-09T00:15:34Z	619671.01
CN4189395	39547.01	2026-08-12T07:20:12Z	81061.02
CN4189412	460000.00	2025-11-26T04:23:33Z	640998.40
CN4189412	460000.00	2025-11-26T04:23:33Z	687159.37
CN4189426	1072340.50	2026-07-14T05:16:21Z	1648086.00
CN4189480	884906.00	2026-08-06T04:41:52Z	1321067.00
CN4189526	67862.52	2026-05-27T22:21:13Z	0.10
CN4189561	25326.92	2026-02-05T03:46:41Z	76689.49
CN4189600	73559.00	2026-09-11T06:28:43Z	150070.00
CN4189632	14220.72	2026-03-26T05:32:18Z	129848.43
CN4189671	439926.70	2026-07-07T04:06:25Z	838266.70
CN4189720	16785672.00	2025-11-05T03:42:24Z	16500000.00
CN4189729	416045.71	2026-06-18T03:31:51Z	932964.62
CN4189734	222852.63	2026-08-19T02:33:55Z	8885.05
CN4189880	385945.56	2026-09-15T05:28:33Z	649523.16
CN4189958	220549.12	2026-03-31T01:38:22Z	452035.12
CN4190226	348480.00	2026-09-15T00:04:18Z	696960.00
CN4190227	337920.00	2026-09-15T00:04:16Z	675840.00
CN4190249	78586.20	2025-10-29T04:21:52Z	87318.00
CN4190320	11573407.55	2026-06-18T03:31:45Z	11671180.56
CN4190324	12481.80	2026-05-27T04:46:13Z	60084.89
CN4190324	12481.80	2026-05-27T04:46:13Z	80095.49
CN4190360	900000.00	2026-09-01T07:06:02Z	1750000.00
CN4190419	2641100.00	2026-08-17T07:21:18Z	3195500.00
CN4190440	764500.00	2025-12-12T05:37:46Z	1764500.00
CN4190495	999660.38	2026-09-11T05:26:44Z	1029859.78
