# AOS-SFR-2026-001 v1.1: the thirty most frequent description strings among the P2 notices matching no brand regex in brand-list.json v1.0, each notice read at its original contract release, values at award, amendments never added. 8,827 notices, 3,487 distinct strings. Key: strip, internal whitespace collapsed; ties ordered lexically. Generated by recompute/nobrand.py in award mode; not a source. Version 1.0's table, at the latest release, is NO-BRAND-DESCRIPTIONS-2026-09-16.tsv and is unchanged.
rank	description	notices	value_aud
1	ICT Hardware	541	186794120.86
2	ICT Equipment	526	195766332.45
3	ICT Contractor Services	291	104584237.93
4	ICT Labour Hire	269	94390387.11
5	Software Licence	251	137097633.52
6	Software	208	523262814.38
7	Software Licence Renewal	193	97432717.52
8	Computer Equipment and Accessories	139	18164166.95
9	Computer Equipment	133	9090780.81
10	ICT Services	106	81847018.82
11	Software Licence Subscription	105	48782703.85
12	Software Services	92	68296231.53
13	ICT Support Services	72	72272082.70
14	IT Hardware Procurement	65	15289234.43
15	CRN01/2026	58	90930999.18
16	Software Licences	55	23540929.63
17	ICT Software	53	41695332.30
18	Communication Equipment	52	161939143.74
19	Ground Handling	47	1478177.02
20	Maintenance and support	43	12194132.98
21	Software Subscription	41	71553330.08
22	Software Support	41	26342683.71
23	Telecommunication Services	40	29390247.29
24	Software Support and Maintenance	38	161286734.59
25	Electronic Equipment	37	1862705.95
26	Infrastructure Cabling Services	37	6852888.41
27	Contractor Services	35	12449027.62
28	Hardware	35	50032740.13
29	IT Hardware	35	26854212.37
30	Internet Services	31	3607741.46
